2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'thumb'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'title'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'thumb'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'title'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'thumb'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'title'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'thumb'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'title'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'thumb'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'title'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'thumb'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'title'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'thumb'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'title'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'thumb'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:26+03:00 127.0.0.1(5054) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'title'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/includes/Lms/Football.php in line 118: <strong><em>Undefined offset: 1</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'thumb'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'title'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'thumb'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'title'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'thumb'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'title'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'thumb'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'title'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'thumb'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'title'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'thumb'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'title'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'thumb'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'title'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'thumb'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'title'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'thumb'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'title'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'thumb'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'title'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'thumb'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'title'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Illegal string offset 'thumb'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'url'</em></strong>
2018-06-18T13:08:27+03:00 127.0.0.1(5053) WARN (4): E_WARNING at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Illegal string offset 'title'</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5216) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5216) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: thumb</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5216) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5216) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5216) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: thumb</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5216) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5216) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5216) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: thumb</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5216) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5216) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5216) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: thumb</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5216) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5700) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5700) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: thumb</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5700) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5700) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5700) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: thumb</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5700) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5700) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5700) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: thumb</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5700) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5700) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5700) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: thumb</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5700) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5311) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5311) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: thumb</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5311) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5311) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5311) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: thumb</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5311) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5311) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5311) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: thumb</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5311) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5311) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5311) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: thumb</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5311) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5312) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5312) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: thumb</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5312) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5312) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5312) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: thumb</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5312) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5312) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5312) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: thumb</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5312) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 8: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5312) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: url</em></strong>
2018-06-18T13:08:47+03:00 127.0.0.1(5312) NOTICE (5): E_NOTICE at /Users/chapaev/Sites/persik/football-app/app/templates/default/views/scripts/index/index.phtml in line 7: <strong><em>Undefined index: thumb</em></strong>
